lat,long
13.00926015,74.79618143
13.00223532,74.79961466
12.98952322,74.79549479
12.97881778,74.81060099
12.96309335,74.80545115
12.93297995,74.85832285
12.91424089,74.83429026
12.91022519,74.82536387
12.91223305,74.85111307
12.92595297,74.93728708
12.89550042,74.82914042
12.88813771,74.83051371
12.89081509,74.84905314
12.87809731,74.8514564
12.8750851,74.85694956
12.87207287,74.83772349
12.86303594,74.83978342
12.8723889,74.86106923
12.85933547,74.85282949
12.99251539,74.80339101
13.00054406,74.80888417
12.91790323,74.8665624
12.91254903,74.83669332
12.90451752,74.83737996
12.88979242,74.82914022
12.89012709,74.86347249
12.88644568,74.85317281
12.87540114,74.85179952
12.86837254,74.86793569
12.86703373,74.85488942
12.85833134,74.83909658
12.85833134,74.86141256
12.84594664,74.84939626
12.97846458,74.80545095
12.96842781,74.86724904
12.98114099,74.87480214
12.96876237,74.88784841
12.93162284,74.85969594
12.90953725,74.84355977
12.91656469,74.88029531
12.91121047,74.86381581
12.89347378,74.82708028
12.88845373,74.85591939
12.87707458,74.84149984
12.86703373,74.8274236
12.87004603,74.86484578
12.87540114,74.87377217
12.8767399,74.9163442
12.99887144,74.80236104
12.94935682,74.85282949
12.92058029,74.87102559
12.9185725,74.85076955
12.8911311,74.87342885
12.89648576,74.91325429
12.88845373,74.85866597
12.87752674,74.88219023
12.88120828,74.83446836
12.86782061,74.84339476
12.85610582,74.8712039
12.84974612,74.84030485
12.99485711,74.80133107
12.98047189,74.81403402
12.98047189,74.87754872
12.90250961,74.83909658
12.88544165,74.81781057
12.88176018,74.85523275
12.89648576,74.90089467
12.87573583,74.88407186
12.88242954,74.85797933
12.86167845,74.81781057
12.85096754,74.86484578
12.86502551,74.85832265
12.98314827,74.87480214
12.90050167,74.89299825
13.00857247,74.83085683
12.97879913,74.87651876
12.98850095,74.88441518
12.89715508,74.84527639
12.8830989,74.83051351
12.88042144,74.84630635
12.87171951,74.83909658
12.86870724,74.83703664
12.86167845,74.81643728
12.87339299,74.88716176
12.85799662,74.88441518
12.85632305,74.86587575
12.86971133,74.85557607
12.97980279,74.87548879
12.99184632,74.79927114
12.98883549,74.79171804
12.96708954,74.8500829
12.93262668,74.83978322
12.93195745,74.85488942
12.93296129,74.86690572
12.90585613,74.82021383
12.90853331,74.84527639
12.90585613,74.85832265
12.88376826,74.84802297
12.87473175,74.82124379
12.87205421,74.8500829
12.86837254,74.83085683
12.85029809,74.85179952
12.85933547,74.88716176
12.85364531,74.85248616
12.8994977,74.91771749
12.99552617,74.80648092
12.97545359,74.80991414
12.98615917,74.88304189
12.99753334,74.81060079
12.98348282,74.88269857
12.97980279,74.81334737
12.98649371,74.80339101
12.984821,74.86141256
12.91689933,74.89814809
12.96842781,74.80991414
12.99820239,74.82914022
12.99184632,74.80133107
12.95671772,74.89334157
13.00255119,74.80201772
12.99667839,74.8042492
